theta1,theta2
0.34810832,-0.23564687
-1.068489,0.2598474
0.5662026,0.5521719
-0.5152748,0.9700104
-0.9011989,0.9529036
-0.82215047,-0.3714832
0.853434,0.14653179
-1.7887776,1.4463024
0.066549,0.36995673
0.14941064,-0.47724918
-0.2025677,-0.20385613
-1.4231145,0.6060415
-0.05774032,1.1513922
-0.43564305,-0.13476877
0.31203938,0.52838075
1.7075411,-0.9850792
0.083716266,-1.1745383
-0.37870273,0.61059844
0.68515354,-1.6175805
0.6529919,0.40832874
0.7119661,0.19263516
0.86255187,0.07215354
-0.09170219,0.39404467
-1.4591869,0.4023195
-0.3834905,0.7731226
0.51853853,0.35537654
0.19689535,-0.19948952
-0.26395944,0.73341614
1.5894829,-1.0966991
0.5126269,-0.19514422
0.24148604,0.774431
-0.4483231,-0.40922856
-0.42064887,0.5349561
-0.4137796,-0.7792657
0.7708223,-1.1461301
0.1370904,-0.1166036
1.5457497,-0.36445567
0.74349815,-0.37653893
0.0381262,0.5678491
-0.21622105,-0.18292327
-0.24173696,0.49899298
0.16607772,-0.80420935
0.094276115,0.25098494
-0.23627241,0.4150915
-0.67703164,-0.161788
0.07169643,-0.31872073
1.0248882,-1.0747658
0.68761,0.26120046
0.31067216,-0.4865447
0.149648,-0.4750286
-0.43243265,0.56665426
-0.22009166,-0.7379171
-0.3028968,0.809823
-0.69837505,0.9069013
-0.178335,-0.6526457
-3.739034,3.890964
1.2252817,-2.914306
-0.19162299,0.1318503
2.2206755,-2.1556764
1.4511842,-0.46171975
-0.07794952,0.13989194
1.4214842,-1.0220215
0.47011584,0.086740546
-0.6850935,-0.23459134
-0.8033776,1.6636395
0.1386376,1.2872205
-0.1189667,0.50141776
0.46070448,0.5396765
-0.18933839,0.67675537
-0.81271845,1.1834797
-0.2926661,-0.08570757
-1.0215139,0.29229653
0.021348303,-0.56442
1.508197,-1.7037811
-0.20166954,0.38590112
-0.9748108,0.21524452
-0.32551727,0.6352124
-0.3554452,1.2441672
0.7299922,-1.0667188
0.3383633,-0.6215754
0.82083493,-0.44116536
-0.18715192,-0.86983186
0.08415318,0.06841614
0.44952685,-0.09504158
0.051210985,0.0121563515
-0.9211979,1.0698888
-0.57669914,0.6335601
0.074400514,0.086991616
-0.25220594,0.34460124
-0.25121337,-0.12214053
-1.6125361,1.1482263
1.0332476,-0.35618728
0.26499516,-0.8837102
-1.7440822,2.4187841
0.8517516,-0.72750455
-0.21813233,0.37995166
1.5353861,-1.0278631
1.085973,1.2087041
2.3124661,-1.9054333
0.47602585,-0.1820054
-0.95444024,-0.10604698
-0.3564542,0.5332824
0.33625674,-0.5650305
1.09213,-0.17649783
0.42920426,0.15812317
0.9978488,-1.4627471
0.4643431,-0.6033369
-0.5091343,0.45940727
0.51406735,-1.0882477
0.6625676,-0.5375543
0.07115248,-0.5070968
-0.5378417,0.45660943
0.08814265,0.50515187
-0.008359933,-0.038863167
-0.5560864,0.012454851
0.5770993,-0.31539145
-2.026593,1.1995006
-0.96127003,-0.38883764
-1.14898,-0.35520393
-1.8215634,2.6981013
0.46618125,-0.05349737
-0.14025015,-0.9765084
-0.7865203,-1.5989094
0.25426894,0.09818292
0.45166993,-1.321233
0.5494383,-1.3906376
0.46981692,0.14858815
0.20479539,0.1186189
1.7005962,1.9421625
0.16639633,0.10228564
-1.4500306,0.41100493
0.5513379,-0.43984362
1.2283571,1.3938706
-0.2983506,0.9933929
-0.18665513,-0.13221653
-0.2806319,1.846486
-0.59158736,0.31390938
-0.32003567,-0.3555283
0.48794398,-1.3710631
-0.17249201,0.16501242
-1.5683475,1.6041809
0.105302416,-0.25986344
-1.355377,0.552042
-1.056827,0.93514
0.49660018,-0.43315634
0.7512191,0.015440301
1.4087596,0.19344242
0.3035897,1.5912632
-0.4190536,1.2834669
0.40255234,0.053530045
1.4535587,-0.4329733
0.13901713,0.7604474
-0.6085658,0.7044783
0.016571408,-0.17873336
-0.79314053,0.44786653
0.63987756,0.3071789
0.15134759,-0.36239812
1.1773632,-1.762557
-0.8869145,0.5944996
0.8520512,-0.24310979
-1.3881003,0.9514885
-0.54410017,0.24341764
-1.6464683,1.8887894
-0.9906024,0.6809778
0.8029615,0.22503777
-0.7653757,-0.40396485
-0.58555734,0.23524705
0.5320802,0.69514
1.0560195,0.049081832
-0.5383057,0.5263657
0.55833924,0.29321668
3.0346818,-3.5769937
-1.230611,0.9295189
0.60851526,-0.43717206
-0.74531573,1.3057294
1.7318455,-0.77953196
2.162411,-1.8317742
-1.1938821,-0.64251757
0.09951801,2.0345068
-0.40065262,1.6546355
0.5953299,1.0505625
-0.4338686,1.558812
0.20638458,-0.066774644
-1.189392,1.2721019
1.5342443,-0.62049115
-0.08652371,0.7449443
-0.18490812,0.51478475
0.7604332,-1.4058532
-0.0026322103,0.9647678
1.2794001,-0.5290921
0.56132877,-1.1055597
-0.41761926,1.7315747
0.10708706,0.3390154
0.08078478,-0.11440188
-0.47928494,-0.8474174
0.61120737,-0.76283586
-1.3864479,-0.44951826
1.2405722,-1.2468735
0.040172134,-1.487353
-0.2310574,-0.24097326
-1.2689486,-0.39001215
-0.07410362,-0.7865469
0.2678314,-0.04399993
-0.30715898,1.345206
-0.6576077,0.18892767
-1.2361354,0.90498847
2.5029418,-0.9357895
-0.6156008,0.4941268
2.4676359,-1.2542
-0.003065628,-0.09555956
-0.7994107,0.21382502
1.1307813,-1.5705978
-0.8125709,1.2805253
-1.0859652,-1.8563948
-2.0123749,0.4910895
-1.539331,0.005281074
-0.17994812,0.1388673
0.6825457,-2.4700813
-0.34945834,0.87254184
-0.12673348,0.005928151
1.3996726,0.17998134
-0.0134326015,-0.041156102
-0.5611113,-0.24959871
-0.13387145,-1.9071019
-0.19122225,-1.5829355
-1.1899829,-0.5948209
-0.22856736,-0.025393393
-0.16417378,-1.266168
-0.1927674,0.63793176
-0.28718197,0.19320667
-0.9555469,-0.122881845
1.0112783,-0.93282646
0.73036516,-0.017859235
